Item Id,SKU,Brand,Type,Size,Style,Outer Shell Material,Size Type,Fabric Type,Color,Lining Material,Insulation Material,Theme,Features,Pattern,Accents,Department,Performance/Activity,Model,Product Line,Closure,Season,Character,Country/Region of Manufacture,Jacket/Coat Length,Fit,Occasion,Vintage,Warmth Weight,Collar Style,Personalize,Handmade,Garment Care,Chest Size,California Prop 65 Warning,MPN,Personalization Instructions,
"254631963761","115854","Rocky Mountain Hides","Jacket",,"Motorcycle Jacket","Leather","Regular","","Black","Leather","","Classic","Belted,Collared,Full Zip","Solid","Zipper","Men","Riding","","","Zip","","","","","Classic","Casual,Travel","","","","","","","","","","",
"254631963761","115775",,,"XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254631963761","115774",,,"M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254631963761","115773",,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254631963761","115772",,,"3X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254631963761","115771",,,"2X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254553411751","118038","Diamond Plate","Vest",,"Motorcycle Jacket","Leather","Regular","Leather","Black","Polyester","Polyester","Embroidered Patches","All Seasons","Solid","Patches","Men","Riding","","Biker's Vest","Button,Lace Up","","Buffalo Leather","","","Regular","Casual,Travel","Yes","","","","","","","","","",
"254553411751","116211",,,"XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254553411751","116210",,,"S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254553411751","116209",,,"M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254553411751","116208",,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254553411751","116203",,,"3X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254553411751","116202",,,"2X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254553411332","117353","Diamond Plate","Jacket",,"Motorcycle Jacket","Leather","Regular","","Black","Polyester","Polyester","Biker","Belted,Collared","Solid","Buckle","Men","Riding","Rock Design","","Buckle,Button,Snap,Zip","Fall,Spring,Winter","","","","Regular","Business,Casual,Formal,Travel","","","","","","","","","","",
"254553411332","116108",,,"XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254553411332","116107",,,"S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254553411332","116105",,,"M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254553411332","116099",,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254553411332","116093",,,"2X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254553411332","",,,"XS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264771824378","116391","Diamond Plate","Jacket",,"Motorcycle Jacket","Leather","Regular","","Black","Polyester","Polyester","Motorcycle","Full Zip","Solid","Embroidered,Zipper","Men","Riding","","","Zip","Fall,Spring,Winter","","","","Regular","Business,Casual,Formal,Travel","","","","","","","","","","",
"264771824378","115981",,,"XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264771824378","115980",,,"S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264771824378","115979",,,"M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264771824378","115978",,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264771824378","115976",,,"3X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264771824378","115975",,,"2X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264681474376","118040","Diamond Plate","Vest",,"Biker","Leather","Regular","Leather","Black","Leather","","Bikers Vest","Buttoned","Solid","Embroidered","Men","Travel","Biker Vest 42 Patches","Biker Vest","Button","Fall,Spring,Winter","","","","Regular","Casual,Travel","","","","","","","","","","",
"264681474376","116221",,,"XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264681474376","116220",,,"M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264681474376","116219",,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264681474376","116218",,,"3X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264681474376","116217",,,"2X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254553412106","118068","Rocky Ranch Hides","Vest",,"Biker","Leather","Regular","leather","Black","Leather","","Motorcycle","Collarless,Pockets","Solid","side laces","Men","Riding","Rock Design","Bikers Vest","Button,Snap","Fall,Spring,Winter","","","","Regular","Casual,Travel","","","","","","","","","","",
"254553412106","116254",,,"XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254553412106","116253",,,"M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254553412106","116252",,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
